Wavelength	Transit Depth
(meters)	(percent)
3.952307e-07	8.377004e-03
3.956254e-07	8.376939e-03
3.960204e-07	8.376874e-03
3.964159e-07	8.376809e-03
3.968117e-07	8.376745e-03
3.972079e-07	8.376681e-03
3.976045e-07	8.376617e-03
3.980016e-07	8.376553e-03
3.983990e-07	8.376489e-03
3.987968e-07	8.376426e-03
3.991950e-07	8.376363e-03
3.995936e-07	8.376300e-03
3.999926e-07	8.376237e-03
4.003920e-07	8.376175e-03
4.007919e-07	8.376112e-03
4.011921e-07	8.376050e-03
4.015927e-07	8.375988e-03
4.019937e-07	8.375927e-03
4.023951e-07	8.375865e-03
4.027969e-07	8.375804e-03
4.031991e-07	8.375743e-03
4.036017e-07	8.375682e-03
4.040047e-07	8.375622e-03
4.044081e-07	8.375561e-03
4.048119e-07	8.375501e-03
4.052162e-07	8.375443e-03
4.056208e-07	8.375436e-03
4.060258e-07	8.375444e-03
4.064312e-07	8.375414e-03
4.068371e-07	8.375320e-03
4.072433e-07	8.375224e-03
4.076500e-07	8.375118e-03
4.080570e-07	8.375042e-03
4.084645e-07	8.374968e-03
4.088723e-07	8.374910e-03
4.092806e-07	8.374852e-03
4.096893e-07	8.374798e-03
4.100984e-07	8.374759e-03
4.105079e-07	8.374710e-03
4.109178e-07	8.374635e-03
4.113281e-07	8.374566e-03
4.117388e-07	8.374509e-03
4.121500e-07	8.374452e-03
4.125615e-07	8.374396e-03
4.129735e-07	8.374340e-03
4.133859e-07	8.374284e-03
4.137986e-07	8.374228e-03
4.142118e-07	8.374172e-03
4.146254e-07	8.374117e-03
4.150395e-07	8.374062e-03
4.154539e-07	8.374007e-03
4.158687e-07	8.373952e-03
4.162840e-07	8.373897e-03
4.166997e-07	8.373843e-03
4.171158e-07	8.373789e-03
4.175323e-07	8.373734e-03
4.179492e-07	8.373681e-03
4.183665e-07	8.373627e-03
4.187843e-07	8.373607e-03
4.192024e-07	8.373607e-03
4.196210e-07	8.373591e-03
4.200400e-07	8.373569e-03
4.204595e-07	8.373496e-03
4.208793e-07	8.373407e-03
4.212996e-07	8.373318e-03
4.217203e-07	8.373229e-03
4.221414e-07	8.373152e-03
4.225629e-07	8.373100e-03
4.229848e-07	8.373049e-03
4.234072e-07	8.372997e-03
4.238300e-07	8.372946e-03
4.242532e-07	8.372895e-03
4.246768e-07	8.372844e-03
4.251009e-07	8.372793e-03
4.255254e-07	8.372743e-03
4.259503e-07	8.372692e-03
4.263756e-07	8.372642e-03
4.268013e-07	8.372592e-03
4.272275e-07	8.372542e-03
4.276541e-07	8.372492e-03
4.280812e-07	8.372443e-03
4.285086e-07	8.372394e-03
4.289365e-07	8.372344e-03
4.293648e-07	8.372303e-03
4.297935e-07	8.372264e-03
4.302227e-07	8.372216e-03
4.306523e-07	8.372156e-03
4.310823e-07	8.372114e-03
4.315128e-07	8.372085e-03
4.319436e-07	8.372040e-03
4.323750e-07	8.372009e-03
4.328067e-07	8.371981e-03
4.332389e-07	8.371954e-03
4.336715e-07	8.371942e-03
4.341045e-07	8.371914e-03
4.345380e-07	8.371874e-03
4.349719e-07	8.371816e-03
4.354062e-07	8.371779e-03
4.358410e-07	8.371751e-03
4.362762e-07	8.371749e-03
4.367118e-07	8.371733e-03
4.371479e-07	8.371691e-03
4.375844e-07	8.371612e-03
4.380214e-07	8.371510e-03
4.384587e-07	8.371428e-03
